FCC
H,K,L,mul,d,pos,sig²,gam,Fo²,Fc²,phase,Icorr,Prfo,Trans,ExtP,I100,μstrain,Size
1.0,1.0,1.0,8.0,2.0837124710181745,43.566911328623725,4.520145641901305,30.596318850609013,4551.2183596864415,4042.453137674626,0.0,13.801624786711571,0.8160501238390739,1.0,1.0,98.66069797157509,13126.2,1.7582
2.0,0.0,0.0,6.0,1.8045479340841848,50.70787801229813,4.501367633155137,36.19264545845247,3614.295878944709,3283.222637206711,0.0,17.615298343340122,1.8810065480166887,1.0,1.0,100.0,13126.2,1.7582
2.0,2.0,0.0,12.0,1.276008081167102,74.41530093513816,4.634422981560271,57.731809898116026,3588.8330350837955,1596.15360082438,0.0,2.518147396919217,0.2686093590583569,1.0,1.0,14.194519500160606,13126.2,1.7582
3.0,1.0,1.0,24.0,1.0881833479214962,90.25314547872091,5.008895237091387,76.25213510834702,1522.8589240999952,1005.0705993287161,0.0,19.951964427896257,1.334704520906294,1.0,1.0,47.72342768807835,13126.2,1.7582
2.0,2.0,2.0,8.0,1.0418562355090872,95.47393418123296,5.220986998878319,83.50571379052393,1063.4334949093654,871.0604128649927,0.0,3.9267750874689535,0.8160501238390739,1.0,1.0,6.558924875093068,13126.2,1.7582
