File_Name,Deformation,C11,C22,C33,C12,C13,C23,C44,C55,C66,C14,C15,C16,C24,C25,C26,C34,C35,C36,C45,C46,C56,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio
B0_3,"0,000002","433,67","431,25","435,20","233,33","231,07","233,44","189,45","190,44","191,69","-0,27","-0,60","1,53","-1,31","1,28","1,53","-0,82","-0,45","-0,93","-0,12","-0,29","0,17","299,53","154,47","395,43","0,28"
B0_3,"0,000004","439,48","437,63","440,11","236,44","233,98","236,52","189,72","190,67","191,77","0,03","-0,66","1,87","-0,91","1,23","1,48","-0,63","-0,41","-0,86","-0,15","-0,13","0,01","303,46","155,12","397,60","0,28"
B0_3,"0,000006","441,47","435,43","438,18","236,41","234,16","235,24","189,82","190,94","192,06","0,16","-0,76","1,89","-1,14","1,23","1,36","-0,64","-0,58","-0,73","-0,11","-0,26","-0,02","302,97","155,18","397,65","0,28"
B0_3,"0,000008","439,43","437,36","440,19","236,27","234,04","236,18","189,83","190,92","191,95","0,09","-0,68","1,80","-1,08","1,16","1,39","-0,86","-0,43","-0,78","-0,05","-0,28","0,02","303,33","155,24","397,85","0,28"
B0_4,"0,000001","435,15","433,24","435,51","233,05","231,90","232,06","192,18","190,75","191,51","-0,39","1,86","1,30","0,28","-1,89","1,25","1,26","0,99","-0,04","0,35","0,33","1,17","299,77","155,35","397,40","0,28"
B0_4,"0,000002","434,38","442,96","434,24","235,59","231,86","234,93","191,31","189,83","190,40","0,14","2,08","0,79","0,30","-1,53","0,71","1,42","1,47","0,00","0,28","0,56","1,20","301,81","154,92","396,86","0,28"
B0_4,"0,000004","434,71","436,95","434,20","234,26","232,25","233,05","191,44","190,50","191,27","0,08","1,86","0,77","0,15","-1,78","0,94","1,30","1,49","-0,04","0,28","0,71","1,12","300,55","155,06","396,92","0,28"
B0_4,"0,000006","442,50","435,22","442,14","235,86","236,68","234,85","191,65","190,65","191,35","-0,03","1,92","0,81","-0,01","-1,68","1,03","1,12","1,40","-0,11","0,30","0,56","1,16","303,85","155,56","398,65","0,28"
B0_4,"0,000008","440,93","434,24","439,79","235,11","235,46","233,88","191,65","190,72","191,44","0,06","1,71","0,82","0,03","-1,61","0,87","1,11","1,49","-0,20","0,22","0,63","1,07","302,65","155,46","398,21","0,28"
B0_5,"0,000001","432,16","435,88","435,94","232,13","234,01","231,31","190,79","191,19","192,33","-0,74","0,82","-1,31","0,35","-0,93","-1,21","1,07","-0,34","-0,60","-0,23","0,40","-0,40","299,87","155,30","397,31","0,28"
B0_5,"0,000002","444,86","447,58","436,59","238,90","237,91","234,51","190,50","190,91","192,55","-0,57","-0,08","-0,87","-0,52","-1,15","-0,47","0,56","-0,40","-0,74","0,04","0,04","-0,30","305,74","155,97","399,91","0,28"
