Lattice parameter (Bohr) | Average atomic volume (au^3) | Lattice parameter (Angstrom) | Total energy (Ry)
6.30000 | 62.511750 | 3.33382 | -2532.99439800
6.35000 | 64.011970 | 3.36028 | -2532.99687100
6.40000 | 65.536000 | 3.38673 | -2532.99842600
6.45000 | 67.084030 | 3.41319 | -2532.99913000
6.50000 | 68.656250 | 3.43965 | -2532.99904800
6.55000 | 70.252840 | 3.46611 | -2532.99823900
6.60000 | 71.874000 | 3.49257 | -2532.99676200
6.65000 | 73.519910 | 3.51903 | -2532.99504000
6.70000 | 75.190750 | 3.54549 | -2532.99324900
