Lattice parameter (Bohr) | Average atomic volume (au^3) | Lattice parameter (Angstrom) | Total energy (Ry)
6.30000 | 62.511750 | 3.33382 | -2635.82409500
6.35000 | 64.011970 | 3.36028 | -2635.82732100
6.40000 | 65.536000 | 3.38673 | -2635.82963000
6.45000 | 67.084030 | 3.41319 | -2635.83109200
6.50000 | 68.656250 | 3.43965 | -2635.83179700
6.52969 | 69.601360 | 3.45536 | -2635.83191200
6.55000 | 70.252840 | 3.46611 | -2635.83186800
6.60000 | 71.874000 | 3.49257 | -2635.83135400
6.65000 | 73.519910 | 3.51903 | -2635.83029700
6.70000 | 75.190750 | 3.54549 | -2635.82873600
6.76522 | 77.407990 | 3.58000 | -2635.82600600
