LAMMPS data file via write_data, version 12 Jun 2025, timestep = 94, units = metal

500 atoms
3 atom types

-0.06395487300453993 17.308954873004602 xlo xhi
-0.062181489924333214 17.30718148992432 ylo yhi
-0.05545115725732698 17.300451157257314 zlo zhi
1.0635667388250095e-15 1.0627425107892247e-15 1.0627425107892247e-15 xy xz yz

Masses

1 58.6934
2 55.845
3 51.9961

Atoms # atomic

10 1 5.139211815191726 1.6842281745552814 3.4155999596695157 0 0 0
14 1 3.407433575981432 -0.054018926230285626 3.414525421952869 0 0 0
29 1 5.154460180266512 5.129918947956504 3.447339325994369 0 0 0
33 1 1.6866363799878792 1.6845255048935919 3.4140282957634436 0 0 0
50 1 1.7124572781020657 3.406291889039736 5.127041924127467 0 0 0
56 1 1.6771418882812614 5.16347714856373 -0.05305328390792835 0 0 0
59 1 -0.049802868988868716 -0.03739676521828723 3.377984652922913 0 0 0
61 1 1.6750844027132605 3.4008942155863915 1.6863404059144596 0 0 0
233 2 1.652757969944299 -0.044004661402379464 1.616999955717894 0 0 0
267 2 1.76061273460645 5.140686955031929 3.425702790212404 0 0 0
304 2 5.149919363243211 -0.03801280129866251 1.7000997676120464 0 0 0
306 2 3.4431872972649633 1.6550181703846722 5.201895642057084 0 0 0
312 2 3.4502518986227 3.441910960189799 3.436060749421961 0 0 0
333 2 3.410002756484202 5.143264020005061 5.162947314539412 0 0 0
335 2 5.1473562094803595 3.430391728981672 1.6766938455755627 0 0 0
368 3 5.091853695134262 3.35149474465443 5.182257556872343 0 0 0
468 3 5.194239274972718 -0.006614147660654407 5.110556507516555 0 0 0
471 3 3.4729761875432357 1.6705888382621015 1.7064199992942943 0 0 0
489 3 1.7334433572484456 1.618594989996325 -0.02690301068954699 0 0 0
493 3 3.401662860921209 5.082817784198676 1.661790247573514 0 0 0
32 1 1.6514451761839424 -0.0619285228183846 5.151989169269897 0 0 0
69 1 10.358228845004223 -0.05192014428333404 3.4349567693274796 0 0 0
83 1 10.394705512559183 3.3861443704017677 3.3932386477706924 0 0 0
105 1 6.880681483324378 5.143586806036568 5.184347817916646 0 0 0
127 1 8.632773023233478 -0.05371165511538166 1.692946549858998 0 0 0
149 1 8.688529099409115 3.392824614524154 1.6534826866476395 0 0 0
184 2 10.365129385101019 5.187311237120075 5.126790739360889 0 0 0
196 2 10.38159232089388 5.1928115089322855 1.7444490092312952 0 0 0
305 2 6.851051392015033 -0.0415260840235951 3.4132075179503256 0 0 0
307 2 6.916204368097382 1.6856322237077477 5.138637320351536 0 0 0
340 3 6.904218637770551 5.163303745716875 1.6513707820226147 0 0 0
341 3 6.909017952020875 3.402237606443693 3.403111665277598 0 0 0
342 3 8.665949772256633 3.4485224543839963 5.193683174292379 0 0 0
343 3 8.70120774641752 5.104679752179877 3.3628501870647383 0 0 0
366 3 10.42474100849853 1.6146782001441826 1.6064885128201107 0 0 0
396 3 6.843707762022872 1.6462842849160153 1.6630349664887314 0 0 0
397 3 8.529057758415435 1.6944799262877566 3.4301430096942234 0 0 0
431 3 10.418705203042778 1.6491487373700335 5.222483573489574 0 0 0
55 1 17.3052376221099 3.3967028178232255 3.4208794197179393 -1 0 0
65 1 17.307593295602725 5.117778802261262 1.6712351383832842 -1 0 0
231 2 17.255236281000208 1.6923954603027203 5.195824489739675 -1 0 0
239 2 17.251524807193032 1.6693896522799596 1.640838291568997 -1 0 0
350 3 17.243252570253862 -0.06213828171520455 0.007344244094284705 -1 0 0
473 3 17.260357341779315 5.1165229554253 5.1148936681077135 -1 0 0
3 1 13.820147238339862 5.1756280505149395 1.6668803316612921 0 0 0
4 1 15.562456107491068 5.14333395107189 -0.04429863916392935 0 0 0
5 1 13.811831038289691 3.428012707848878 3.405146568835129 0 0 0
6 1 13.820616878547401 5.138052487595917 5.1488106946900665 0 0 0
7 1 13.79742244210797 1.692915158185931 5.1652972096934935 0 0 0
8 1 15.5805717544227 5.144982345725168 3.3684464355381323 0 0 0
68 1 12.095272878269103 3.4184616598780977 1.6853211086857207 0 0 0
71 1 12.090803919328707 1.648020006493052 3.4017481338899436 0 0 0
82 1 12.09687338753709 5.161260336909774 -0.04214438060982578 0 0 0
85 1 12.059224190209655 3.4508769866218914 5.1615221961199635 0 0 0
199 2 12.01995658624262 5.216940621920044 3.3973849226963475 0 0 0
257 2 13.867457926901535 1.6452539100121175 1.651214859267438 0 0 0
258 2 15.54562401920854 -0.04238185650215118 1.6480834730477185 0 0 0
259 2 15.530279139139134 1.7169695478892903 -0.046789495655734634 0 0 0
260 2 13.832979481860908 -0.060246609345749574 3.4336156579485038 0 0 0
266 2 13.817802782186451 3.376685638384931 -0.052301078635276305 0 0 0
268 2 15.56067420363092 3.392505975370477 5.152515655387279 0 0 0
402 3 15.526207284817218 3.3827792784227206 1.6889789477499926 0 0 0
457 3 15.60347725942995 -0.03563589336844194 5.196245749250613 0 0 0
458 3 15.56597374170868 1.655202557313344 3.4027586996126007 0 0 0
