Alloy,T_formation_K,Monocrystal_Athermal_MPa,Monocrystal_Thermal_MPa,Monocrystal_Total_MPa,Polycrystal_Athermal_MPa,Polycrystal_Thermal_MPa,Polycrystal_Total_MPa,Random_RSS_MPa
Fe20Ni20Cr60,300,4.8394845278916145,54.95675151144108,59.79623603933269,14.80882265534834,168.1676596250097,182.97648228035803,35.14
Fe20Ni20Cr60,400,3.644965062508601,50.97795013697086,54.622915199479465,11.153593091276319,155.99252741913085,167.14612051040717,35.14
Fe20Ni20Cr60,500,2.9225309046159405,48.55182819409949,51.47435909871543,8.942944568124778,148.56859427394446,157.51153884206923,35.14
Fe20Ni20Cr60,600,2.4387972752365505,46.917126170839396,49.35592344607595,7.4627196622238445,143.56640608276857,151.0291257449924,35.14
Fe20Ni20Cr60,700,2.0923283389222034,45.74056168528541,47.83289002420761,6.402524717101943,139.96611875697334,146.36864347407527,35.14
Fe20Ni20Cr60,773,1.895683507389955,45.070463914911315,46.96614742230127,5.800791532613262,137.91561957962864,143.71641111224187,35.14
Fe20Ni20Cr60,800,1.8319946375126892,44.85305588018133,46.685050517694016,5.605903590788829,137.25035099335489,142.8562545841437,35.14
Fe20Ni20Cr60,900,1.6292427046938336,44.15966153122471,45.78890423591854,4.985482676363131,135.1285642855476,140.11404696191073,35.14
Fe20Ni20Cr60,1000,1.4668785447482704,43.60293261645583,45.0698111612041,4.488648346929708,133.42497380635484,137.91362215328454,35.14
Fe20Ni20Cr60,1100,1.3339316499424023,43.14606638195086,44.47999803189326,4.081830848823751,132.02696312876964,136.10879397759336,35.14
Fe20Ni20Cr60,1200,1.223073687086086,42.76439161311601,43.987465300202096,3.7426054824834236,130.859038336135,134.6016438186184,35.14
Fe20Ni20Cr60,1273,1.1531138282058722,42.52318160467041,43.67629543287629,3.528528314309969,130.12093571029146,133.64946402460143,35.14
Fe20Ni20Cr60,1400,1.048746100760609,42.162832364324686,43.211578465085296,3.2091630683274635,129.01826703483354,132.227430103161,35.14
Fe20Ni20Cr60,1500,0.9789744969560707,41.92158756659733,42.9005620635534,2.9956619606855766,128.28005795378783,131.2757199144734,35.14
Fe20Ni20Cr60,1600,0.9179058345863726,41.710202919629765,42.628108754216136,2.8087918538343004,127.63322093406708,130.44201278790138,35.14
Fe20Ni20Cr60,1700,0.8640076135376473,41.52345598016188,42.38746359369952,2.643863297425201,127.06177529929535,129.70563859672055,35.14
Fe20Ni20Cr60,1800,0.8160871469267931,41.35727537106696,42.17336251799375,2.497226669595987,126.5532626354649,129.0504893050609,35.14
Fe20Ni20Cr60,1900,0.7732023326657664,41.20844014607709,41.981642478742856,2.365999137957245,126.09782684699589,128.46382598495313,35.14
Fe20Ni20Cr60,2000,0.7345991347038906,41.07436871803584,41.808967852739734,2.2478733521939054,125.68756827718968,127.93544162938359,35.14
Fe20Ni21Cr59,300,5.104225251042281,57.05521360754541,62.15943885858769,15.61892926818938,174.58895363908897,190.20788290727833,36.22
Fe20Ni21Cr59,400,3.845742722234964,52.86011578787452,56.705858510109486,11.76797273003899,161.75195431089602,173.51992704093504,36.22
Fe20Ni21Cr59,500,3.084175582505851,50.297459723388585,53.381635305894434,9.437577282467904,153.91022675356908,163.34780403603696,36.22
Fe20Ni21Cr59,600,2.5740530397594563,48.5686643741637,51.14271741392316,7.876602301663937,148.62011298494093,156.49671528660485,36.22
Fe20Ni21Cr59,700,2.208592669489396,47.3232850728219,49.5318777423113,6.758293568637551,144.80925232283502,151.56754589147258,36.22
Fe20Ni21Cr59,773,2.0011354803965147,46.613572737804695,48.61470821820121,6.123474570013335,142.63753257768238,148.7610071476957,36.22
Fe20Ni21Cr59,800,1.9339395635839094,46.38324491039048,48.31718447397439,5.917855064566763,141.93272942579486,147.85058449036165,36.22
Fe20Ni21Cr59,900,1.7200062591643883,45.648421128340125,47.36842738750451,5.263219153043028,139.68416865272079,144.9473878057638,36.22
Fe20Ni21Cr59,1000,1.548669682686089,45.058178184010245,46.606847866696334,4.7389292290194325,137.87802524307136,142.61695447209078,36.22
Fe20Ni21Cr59,1100,1.4083638946599262,44.57363983261816,45.98200372727809,4.3095935176593745,136.3953378878116,140.70493140547097,36.22
Fe20Ni21Cr59,1200,1.291361385591478,44.16872807308807,45.46008945867955,3.951565839909923,135.1563079036495,139.10787374355942,36.22
Fe20Ni21Cr59,1273,1.2175199693716603,43.912776171992356,45.13029614136401,3.7256111062772805,134.37309508629662,138.09870619257387,36.22
Fe20Ni21Cr59,1400,1.10735607040153,43.53032097467874,44.63767704508027,3.3885095754286816,133.20278218251693,136.5912917579456,36.22
Fe20Ni21Cr59,1500,1.033705907046103,43.27422083776678,44.30792674481288,3.163140075561075,132.41911576356634,135.5822558391274,36.22
Fe20Ni21Cr59,1600,0.969240027094004,43.04978228969955,44.01902231679355,2.9658744829076524,131.73233380648063,134.69820828938828,36.22
Fe20Ni21Cr59,1700,0.9123415596699385,42.85147364615452,43.76381520582446,2.791765172590012,131.12550935723283,133.91727452982283,36.22
Fe20Ni21Cr59,1800,0.8617522535180179,42.67498200374145,43.53673425725947,2.636961895765135,130.58544493144882,133.22240682721397,36.22
Fe20Ni21Cr59,1900,0.816477780781995,42.516892986978185,43.33337076776018,2.498422009192905,130.10169254015324,132.60011454934616,36.22
Fe20Ni21Cr59,2000,0.7757225526331667,42.374470534248914,43.15019308688208,2.37371101105749,129.66587983480167,132.03959084585918,36.22
Fe20Ni22Cr58,300,5.370023544740319,59.0888985517533,64.45892209649362,16.43227204690538,180.81202956836512,197.2443016152705,37.24
Fe20Ni22Cr58,400,4.047516588017002,54.6823056076151,58.7298221956321,12.385400759332027,167.3278551593022,179.71325591863425,37.24
Fe20Ni22Cr58,500,3.2467185986079863,51.985790873664044,55.23250947227203,9.934958911740438,159.07652007341198,169.01147898515242,37.24
Fe20Ni22Cr58,600,2.71011511003862,50.164581823843285,52.87469693388191,8.292952236718177,153.50362038096046,161.79657261767863,37.24
Fe20Ni22Cr58,700,2.325584015303668,48.85152885817842,51.17711287348209,7.1162870868292245,149.48567830602596,156.6019653928552,37.24
Fe20Ni22Cr58,773,2.1072644205639612,48.10282463140439,50.21008905196835,6.448229126925722,147.19464337209743,153.64287249902316,37.24
Fe20Ni22Cr58,800,2.0365444566195547,47.859774584853746,49.8963190414733,6.231826037255837,146.45091022965246,152.6827362669083,37.24
Fe20Ni22Cr58,900,1.8113730661195775,47.084136407241566,48.895509473361145,5.542801582325907,144.0774574061592,149.62025898848512,37.24
Fe20Ni22Cr58,1000,1.6310157899740172,46.46085602288161,48.09187181285562,4.990908317320493,142.1702194300177,147.1611277473382,37.24
Fe20Ni22Cr58,1100,1.4833096538987482,45.949024683343765,47.432334337242516,4.53892754093017,140.60401553103193,145.1429430719621,37.24
Fe20Ni22Cr58,1200,1.3601267634177012,45.521184350704544,46.88131111412225,4.161987896058166,139.2948241131559,143.45681200921408,37.24
Fe20Ni22Cr58,1273,1.2823805285612861,45.25068124811929,46.533061776680576,3.9240844173975358,138.46708461924504,142.39116903664257,37.24
Fe20Ni22Cr58,1400,1.1663848654918676,44.84639890449895,46.01278376999082,3.5691376884051147,137.22998064776678,140.79911833617192,37.24
Fe20Ni22Cr58,1500,1.0888317153723006,44.57562577115333,45.66445748652563,3.33182504903924,136.4014148597292,139.7332399087684,37.24
Fe20Ni22Cr58,1600,1.0209469015700947,44.33829054514493,45.35923744671502,3.12409751880449,135.67516906814348,138.79926658694797,37.24
Fe20Ni22Cr58,1700,0.9610287708503791,44.128557110429924,45.0895858812803,2.94074803880216,135.03338475791557,137.97413279671773,37.24
Fe20Ni22Cr58,1800,0.9077528391994304,43.94187337066075,44.84962620986018,2.777723687950257,134.4621325142219,137.23985620217215,37.24
Fe20Ni22Cr58,1900,0.8600727690702177,43.774636336355165,44.63470910542538,2.631822673354866,133.9503871892468,136.58220986260167,37.24
Fe20Ni22Cr58,2000,0.8171510049965789,43.623956958613604,44.441107963610186,2.5004820752895314,133.48930829335762,135.98979036864716,37.24
Fe20Ni23Cr57,300,5.634967691311435,61.04916542038161,66.68413311169304,17.243001135412992,186.81044618636773,204.0534473217807,38.22
Fe20Ni23Cr57,400,4.24882982420012,56.43706567855286,60.685895502752984,13.001419262052368,172.69742097637177,185.69884023842414,38.22
Fe20Ni23Cr57,500,3.408983826325875,53.61014037398771,57.019124200313584,10.431490508557177,164.0470295444024,174.47852005295957,38.22
Fe20Ni23Cr57,600,2.845997620846157,51.69874019471469,54.54473781556084,8.70875271978924,158.19814499582694,166.9068977156162,38.22
Fe20Ni23Cr57,700,2.442453904780931,50.31955723297523,52.76201113775616,7.473908948629649,153.9778451329042,161.45175408153386,38.22
Fe20Ni23Cr57,773,2.213300251839027,49.53271760314841,51.74601785498744,6.772698770627422,151.57011586563414,158.34281463626158,38.22
Fe20Ni23Cr57,800,2.139064695381081,49.27721949973551,51.41628419511659,6.545537967866108,150.78829166919067,157.33382963705677,38.22
Fe20Ni23Cr57,900,1.9026797468586725,48.46162865917998,50.36430840603865,5.822200025387538,148.29258369709075,154.11478372247828,38.22
Fe20Ni23Cr57,1000,1.7133187726172039,47.8059882068586,49.51930697947581,5.242755444208644,146.2863239129873,151.52907935719597,38.22
Fe20Ni23Cr57,1100,1.5582244480388816,47.2674096477572,48.825634095796076,4.768166810998978,144.63827352213704,149.406440333136,38.22
Fe20Ni23Cr57,1200,1.4288700292872687,46.817089164861564,48.24595919414883,4.372342289619042,143.2602928444764,147.63263513409544,38.22
Fe20Ni23Cr57,1273,1.3472240083854234,46.532314826276945,47.87953883466237,4.122505465659396,142.38888336840745,146.51138883406685,38.22
Fe20Ni23Cr57,1400,1.2254032423509875,46.10661830677023,47.332021549121215,3.749733921594022,141.08625201871692,144.83598594031093,38.22
Fe20Ni23Cr57,1500,1.14395108955111,45.82144546888419,46.9653965584353,3.500490334026397,140.21362313478562,143.71411346881203,38.22
Fe20Ni23Cr57,1600,1.072650370341017,45.571450224317445,46.64410059465846,3.282310133243512,139.4486376864114,142.7309478196549,38.22
Fe20Ni23Cr57,1700,1.0097149263861935,45.35049901270518,46.36021393909137,3.089727674741752,138.77252697887783,141.8622546536196,38.22
Fe20Ni23Cr57,1800,0.9537543694472617,45.153806407268334,46.107560776715594,2.9184883705086206,138.17064760624112,141.08913597674973,38.22
Fe20Ni23Cr57,1900,0.9036702213713247,44.97758385654641,45.88125407791773,2.7652308773962537,137.631406601032,140.39663747842826,38.22
Fe20Ni23Cr57,2000,0.8585831413925316,44.81879290944045,45.677376050832976,2.6272644126611464,137.14550630288778,139.77277071554892,38.22
Fe20Ni24Cr56,300,5.898469670287411,62.93559763590738,68.83406730619478,18.049317191079478,192.58292876587657,210.63224595695604,39.16
Fe20Ni24Cr56,400,4.449220292045964,58.12415505804935,62.57337535009531,13.61461409366065,177.859914477631,191.47452857129164,39.16
Fe20Ni24Cr56,500,3.570591462629252,55.17042160163428,58.741013064263534,10.926009875645512,168.8214901010009,179.74749997664642,39.16
Fe20Ni24Cr56,600,2.9813784935123953,53.171178726573125,56.15255722008552,9.12301819014793,162.70380690331376,171.82682509346168,39.16
Fe20Ni24Cr56,700,2.5589228690620502,51.72751158307416,54.28643445213621,7.830303979329874,158.28618544420695,166.11648942353682,39.16
Fe20Ni24Cr56,773,2.3189881508866805,50.90345571263322,53.2224438635199,7.096103741713242,155.76457448065764,162.8606782223709,39.16
Fe20Ni24Cr56,800,2.241253509834282,50.63580476817642,52.8770582780107,6.858235740092902,154.94556259061986,161.80379833071274,39.16
Fe20Ni24Cr56,900,1.9937053999769145,49.78119255022086,51.774897950197776,6.100738523929358,152.33044920367584,158.4311877276052,39.16
Fe20Ni24Cr56,1000,1.7953786985036366,49.093927953752186,50.889306652255826,5.4938588174211285,150.22741953848168,155.72127835590283,39.16
Fe20Ni24Cr56,1100,1.6329256789007,48.52919782371181,50.16212350261251,4.996752577436142,148.49934534055814,153.4960979179943,39.16
Fe20Ni24Cr56,1200,1.4974232107452325,48.05688881281615,49.55431202356138,4.5821150248804114,147.05407976721742,151.63619479209783,39.16
Fe20Ni24Cr56,1273,1.4118917137399667,47.75815111004356,49.17004282378353,4.320388644044298,146.13994239673332,150.46033104077762,39.16
Fe20Ni24Cr56,1400,1.2842664503772308,47.31149610478649,48.595762555163724,3.929855338154326,144.77317808064666,148.703033418801,39.16
Fe20Ni24Cr56,1500,1.1989284986864992,47.01222538623988,48.211153884926375,3.6687212059806877,143.857409681894,147.5261308878747,39.16
Fe20Ni24Cr56,1600,1.1242231325093326,46.74983274295105,47.874055875460385,3.440122785478558,143.05448819343022,146.49461097890878,39.16
Fe20Ni24Cr56,1700,1.058280058702335,46.51789420789904,47.57617426660138,3.2383369796291457,142.34475627617107,145.5830932558002,39.16
Fe20Ni24Cr56,1800,0.9996432792625365,46.31139652862354,47.311039807886075,3.058908434543362,141.71287337758804,144.7717818121314,39.16
Fe20Ni24Cr56,1900,0.9471624100491309,46.126369951046364,47.073532361095495,2.898316974750341,141.14669205020186,144.0450090249522,39.16
Fe20Ni24Cr56,2000,0.8999165023491628,45.95963006478826,46.85954656713742,2.753744497188438,140.63646799825207,143.39021249544052,39.16
Fe20Ni25Cr55,300,6.159581116151204,64.75055935514413,70.91014047129534,18.848318215422687,198.13671162674106,216.98502984216373,40.04
Fe20Ni25Cr55,400,4.647951193068535,59.74631838628184,64.39426957935038,14.222730650789718,182.82373426202244,197.04646491281216,40.04
Fe20Ni25Cr55,500,3.7309397975132286,56.669658413046,60.40059821055923,11.416675780390479,173.40915474392077,184.82583052431124,40.04
Fe20Ni25Cr55,600,3.115749488098845,54.5851313611782,57.70088084927704,9.534193433582466,167.0305019652053,176.56469539878776,40.04
Fe20Ni25Cr55,700,2.674551103342279,53.07878875145581,55.75333985479809,8.184126376227374,162.42109357945478,170.60521995568217,40.04
Fe20Ni25Cr55,773,2.4239276949355393,52.21853310687098,54.64246080180652,7.41721874650275,159.7887113070252,167.20593005352796,40.04
Fe20Ni25Cr55,800,2.3427233300756085,51.939056883637555,54.28178021371316,7.168733390031362,158.93351406393091,166.1022474539623,40.04
Fe20Ni25Cr55,900,2.084103648973123,51.04646019661896,53.13056384559208,6.377357165857757,156.20216820165402,162.57952536751176,40.04
Fe20Ni25Cr55,1000,1.8768824669581157,50.32839487650814,52.20527734346626,5.743260348891834,154.0048883221149,159.74814867100676,40.04
Fe20Ni25Cr55,1100,1.7071277069347708,49.738182524479676,51.445310231414446,5.223810783220399,152.1988385249078,157.4226493081282,40.04
Fe20Ni25Cr55,1200,1.565523733167945,49.244439646233765,50.80996337940171,4.790502623493912,150.68798531747532,155.47848794096922,40.04
Fe20Ni25Cr55,1273,1.4761356601744255,48.93208677621243,50.40822243638686,4.5169751201337425,149.73218553521005,154.2491606553438,40.04
Fe20Ni25Cr55,1400,1.342748335250086,48.4649900418816,49.807738377131685,4.108809905865263,148.3028695281577,152.41167943402297,40.04
Fe20Ni25Cr55,1500,1.2535525280575657,48.1519651213585,49.40551764941607,3.835870735856151,147.345013271357,151.18088400721317,40.04
Fe20Ni25Cr55,1600,1.175466678709997,47.877474635177954,49.05294131388795,3.596928036852591,146.50507238364455,150.10200042049712,40.04
Fe20Ni25Cr55,1700,1.1065370693073335,47.634812139755596,48.74134920906293,3.386003432080441,145.76252514765213,149.14852857973258,40.04
Fe20Ni25Cr55,1800,1.0452426418521128,47.41874273071896,48.463985372571074,3.1984424840674652,145.101352756,148.29979524006748,40.04
Fe20Ni25Cr55,1900,0.9903815284294251,47.22512028160176,48.215501810031185,3.0305674769940407,144.50886806170138,147.53943553869541,40.04
Fe20Ni25Cr55,2000,0.9409915076218113,47.050618281607825,47.991609789229635,2.8794340133227427,143.97489194171996,146.8543259550427,40.04
Fe20Ni26Cr54,300,6.417817199473123,66.48809037895471,72.90590757842783,19.638520630387756,203.45355655960142,223.09207718998917,40.88
Fe20Ni26Cr54,400,4.84463438190024,61.2982357027431,66.14287008464333,14.824581208614736,187.5726012503939,202.3971824590086,40.88
Fe20Ni26Cr54,500,3.8897062488334253,58.102969542942645,61.99267579177607,11.902501121430282,177.7950868014045,189.6975879228348,40.88
Fe20Ni26Cr54,600,3.2488350115691778,55.93603536990687,59.184870381476046,9.941435135401685,171.16426823191503,181.1057033673167,40.88
Fe20Ni26Cr54,700,2.7890982076642548,54.36906750671832,57.15816571438257,8.53464051545262,166.36934657055806,174.90398708601066,40.88
Fe20Ni26Cr54,773,2.527899083784777,53.47377113043648,56.00167021422126,7.735371196381418,163.62973965913565,171.36511085551706,40.88
Fe20Ni26Cr54,800,2.443261083312752,53.182844106526986,55.626105189839734,7.476378914937021,162.73950296597258,170.2158818809096,40.88
