30.0009	201.0000
30.0204	196.0000
30.0398	184.0000
30.0593	189.0000
30.0787	189.0000
30.0982	166.0000
30.1177	184.0000
30.1371	196.0000
30.1566	210.0000
30.1760	188.0000
30.1955	166.0000
30.2149	158.0000
30.2344	175.0000
30.2539	169.0000
30.2733	203.0000
30.2928	177.0000
30.3122	171.0000
30.3317	186.0000
30.3511	190.0000
30.3706	189.0000
30.3901	202.0000
30.4095	198.0000
30.4290	179.0000
30.4484	193.0000
30.4679	191.0000
30.4873	181.0000
30.5068	198.0000
30.5263	193.0000
30.5457	186.0000
30.5652	186.0000
30.5846	205.0000
30.6041	191.0000
30.6235	173.0000
30.6430	178.0000
30.6625	194.0000
30.6819	183.0000
30.7014	173.0000
30.7208	187.0000
30.7403	203.0000
30.7597	190.0000
30.7792	184.0000
30.7987	170.0000
30.8181	198.0000
30.8376	180.0000
30.8570	175.0000
30.8765	186.0000
30.8959	180.0000
30.9154	197.0000
30.9349	183.0000
30.9543	173.0000
30.9738	190.0000
30.9932	177.0000
31.0127	198.0000
31.0321	216.0000
31.0516	180.0000
31.0711	174.0000
31.0905	190.0000
31.1100	209.0000
31.1294	169.0000
31.1489	184.0000
31.1683	188.0000
31.1878	173.0000
31.2073	170.0000
31.2267	192.0000
31.2462	181.0000
31.2656	188.0000
31.2851	202.0000
31.3045	202.0000
31.3240	181.0000
31.3435	177.0000
31.3629	173.0000
31.3824	199.0000
31.4018	193.0000
31.4213	177.0000
31.4407	185.0000
31.4602	173.0000
31.4797	193.0000
31.4991	168.0000
31.5186	184.0000
31.5380	188.0000
31.5575	211.0000
31.5769	186.0000
31.5964	186.0000
31.6159	193.0000
31.6353	192.0000
31.6548	176.0000
31.6742	201.0000
31.6937	173.0000
31.7131	203.0000
31.7326	209.0000
31.7521	199.0000
31.7715	207.0000
31.7910	190.0000
31.8104	188.0000
31.8299	185.0000
31.8493	193.0000
31.8688	180.0000
31.8883	189.0000
31.9077	186.0000
31.9272	170.0000
31.9466	189.0000
31.9661	191.0000
31.9855	201.0000
32.0050	195.0000
32.0245	181.0000
32.0439	170.0000
32.0634	186.0000
32.0828	185.0000
32.1023	164.0000
32.1217	198.0000
32.1412	187.0000
