"limits",30.0009,100.0074
"masked X","X","obs","calc","bkg","diff"
30.0009,30.0009,193.0,202.1974878346655,202.0417,-50.63748783466551
30.0204,30.0204,192.0,202.16839604792168,202.0121665848733,-51.60839604792167
30.0398,30.0398,201.0,202.139795345988,201.9831246969263,-42.579795345988
30.0593,30.0593,211.0,202.11138994831177,201.95427393657928,-32.551389948311765
30.0787,30.0787,213.0,202.08347022533036,201.92590921861083,-30.523470225330357
30.0982,30.0982,205.0,202.05574727702196,201.8977371273832,-38.49574727702196
30.1177,30.1177,195.0,202.02836501566924,201.8699037468112,-48.468365015669235
30.1371,30.1371,196.0,202.00146020337948,201.8425482232013,-47.44146020337948
30.1566,30.1566,192.0,201.97475450926748,201.81538754919077,-51.41475450926748
30.176,30.176,164.0,201.94852082714613,201.78869931230523,-79.38852082714612
30.1955,30.1955,175.0,201.92248775413515,201.7622073872264,-68.36248775413515
30.2149,30.2149,220.0,201.89692139680398,201.73618250529566,-23.336921396803973
30.2344,30.2344,207.0,201.87155709036858,201.71035538270212,-36.31155709036858
30.2539,30.2539,203.0,201.84652657470508,201.684860034365,-40.28652657470508
30.2733,30.2733,210.0,201.82195473098213,201.65982367969167,-33.261954730982126
30.2928,30.2928,216.0,201.79758714131646,201.63498723006643,-27.237587141316453
30.3122,30.3122,199.0,201.77367282507774,201.6106044445321,-44.21367282507774
30.3317,30.3317,207.0,201.7499643060742,201.5864229750874,-36.18996430607419
30.3511,30.3511,183.0,201.72670375081637,201.5626898657975,-60.16670375081637
30.3706,30.3706,208.0,201.70365043529637,201.53915946913938,-35.143650435296365
30.3901,30.3901,195.0,201.6809240542218,201.5159539789211,-48.1209240542218
30.4095,30.4095,209.0,201.65863780834255,201.49318893413127,-34.098637808342545
30.429,30.429,177.0,201.63656091765648,201.47062867146815,-66.07656091765648
30.4484,30.4484,190.0,201.61491881291954,201.44850361414345,-53.05491881291954
30.4679,30.4679,210.0,201.5934875330276,201.42658469944115,-33.033487533027596
30.4873,30.4873,184.0,201.57248578419342,201.40509577540126,-59.012485784193416
30.5068,30.5068,205.0,201.55169623510224,201.38381434015653,-37.99169623510224
30.5263,30.5263,202.0,201.53122698180113,201.3628510118346,-40.971226981801124
30.5457,30.5457,218.0,201.51117953012465,201.3423098930365,-24.951179530124648
30.5652,30.5652,208.0,201.49134634133878,201.32197825724037,-34.93134634133878
30.5846,30.5846,174.0,201.47192980853694,201.30206367958237,-68.91192980853694
30.6041,30.6041,212.0,201.45272890089794,201.28235989549313,-30.892728900897936
30.6235,30.6235,223.0,201.4339395287947,201.26306804334868,-19.873939528794693
30.643,30.643,173.0,201.41536706103852,201.24398828119237,-69.85536706103852
30.6625,30.6625,180.0,201.39710829545268,201.22521989445775,-62.83710829545268
30.6819,30.6819,207.0,201.37925340519567,201.2068557909511,-35.81925340519567
30.7014,30.7014,198.0,201.36161745402907,201.18870569727477,-44.80161745402907
30.7208,30.7208,195.0,201.3443803779302,201.17095482336967,-47.784380377930205
30.7403,30.7403,181.0,201.32736350791853,201.15341922054662,-61.76736350791853
30.7597,30.7597,173.0,201.31074047448914,201.13627779900935,-69.75074047448913
30.7792,30.7792,200.0,201.29433896336693,201.1193528958334,-42.73433896336692
30.7987,30.7987,229.0,201.27824452511686,201.10273270431063,-13.718244525116859
30.8181,30.8181,208.0,201.2625364749332,201.08649917661705,-34.7025364749332
30.8376,30.8376,195.0,201.24705181068848,201.07048401368138,-47.68705181068847
30.857,30.857,171.0,201.23194851224926,201.05485053827448,-71.67194851224926
30.8765,30.8765,216.0,201.21706993294302,201.0394366401733,-26.657069932943017
30.8959,30.8959,188.0,201.2025677506579,201.02439947805172,-54.64256775065789
30.9154,30.9154,197.0,201.1882915609409,201.00958309198523,-45.62829156094091
30.9349,30.9349,196.0,201.17431589948194,200.99506482125224,-46.61431589948194
30.9543,30.9543,226.0,201.1607093511017,200.9809158991454,-16.6007093511017
30.9738,30.9738,198.0,201.14733056915523,200.9669895269593,-44.58733056915523
30.9932,30.9932,218.0,201.1343159184527,200.95342761348547,-24.574315918452697
31.0127,31.0127,193.0,201.12153036524276,200.94008941438452,-49.56153036524276
31.0321,31.0321,210.0,201.10910403767937,200.92711080861386,-32.54910403767937
31.0516,31.0516,222.0,201.0969079871608,200.91435706804302,-20.536907987160788
31.0711,31.0711,216.0,201.08500608511773,200.90189491365166,-26.525006085117724
31.0905,31.0905,198.0,201.07345619627856,200.88978509418746,-44.513456196278554
31.11,31.11,193.0,201.06213839588523,200.877901842168,-49.502138395885225
31.1294,31.1294,212.0,201.05116780440176,200.86636612078166,-30.491167804401755
31.1489,31.1489,197.0,201.0404304355612,200.85505808380196,-45.4804304355612
31.1683,31.1683,217.0,201.03003550139476,200.8440927974746,-25.47003550139476
31.1878,31.1878,186.0,201.01987491061533,200.83335629906276,-56.459874910615326
31.2073,31.2073,203.0,201.01000219562636,200.82290492455843,-39.450002195626354
31.2267,31.2267,207.0,201.0004648019455,200.81278917010525,-35.440464801945495
31.2462,31.2462,191.0,200.9911635095732,200.8029038350979,-51.431163509573196
31.2656,31.2656,218.0,200.98219283056085,200.79334940070342,-24.422192830560846
31.2851,31.2851,201.0,200.97345935165637,200.78402645582875,-41.41345935165637
31.3045,31.3045,188.0,200.96505181949445,200.77502971622428,-54.405051819494446
31.324,31.324,205.0,200.956882653389,200.76626552293214,-37.396882653388985
