20.0000	242.0000
20.0195	253.0000
20.0389	252.0000
20.0584	242.0000
20.0778	254.0000
20.0973	255.0000
20.1167	264.0000
20.1362	247.0000
20.1557	267.0000
20.1751	245.0000
20.1946	230.0000
20.2140	251.0000
20.2335	257.0000
20.2529	232.0000
20.2724	244.0000
20.2919	259.0000
20.3113	255.0000
20.3308	255.0000
20.3502	266.0000
20.3697	230.0000
20.3891	265.0000
20.4086	260.0000
20.4281	245.0000
20.4475	246.0000
20.4670	268.0000
20.4864	273.0000
20.5059	260.0000
20.5253	258.0000
20.5448	245.0000
20.5643	275.0000
20.5837	267.0000
20.6032	259.0000
20.6226	270.0000
20.6421	255.0000
20.6615	233.0000
20.6810	241.0000
20.7005	228.0000
20.7199	230.0000
20.7394	247.0000
20.7588	246.0000
20.7783	247.0000
20.7977	230.0000
20.8172	260.0000
20.8367	259.0000
20.8561	259.0000
20.8756	239.0000
20.8950	247.0000
20.9145	245.0000
20.9339	269.0000
20.9534	264.0000
20.9729	269.0000
20.9923	226.0000
21.0118	221.0000
21.0312	256.0000
21.0507	247.0000
21.0701	237.0000
21.0896	243.0000
21.1091	256.0000
21.1285	238.0000
21.1480	243.0000
21.1674	226.0000
21.1869	234.0000
21.2063	243.0000
21.2258	267.0000
21.2453	269.0000
21.2647	250.0000
21.2842	236.0000
21.3036	246.0000
21.3231	258.0000
21.3425	251.0000
21.3620	250.0000
21.3815	260.0000
21.4009	255.0000
21.4204	255.0000
21.4398	248.0000
21.4593	261.0000
21.4787	269.0000
21.4982	217.0000
21.5176	248.0000
21.5371	255.0000
21.5566	227.0000
21.5760	243.0000
21.5955	249.0000
21.6149	269.0000
21.6344	258.0000
21.6538	230.0000
21.6733	253.0000
21.6928	256.0000
21.7122	217.0000
21.7317	262.0000
21.7511	231.0000
21.7706	247.0000
21.7900	244.0000
21.8095	256.0000
21.8290	269.0000
21.8484	246.0000
21.8679	232.0000
21.8873	256.0000
21.9068	277.0000
21.9262	257.0000
21.9457	244.0000
21.9652	272.0000
21.9846	230.0000
22.0041	236.0000
22.0235	263.0000
22.0430	270.0000
22.0624	234.0000
22.0819	248.0000
22.1014	242.0000
22.1208	261.0000
22.1403	227.0000
22.1597	252.0000
22.1792	284.0000
22.1986	257.0000
22.2181	254.0000
22.2376	269.0000
22.2570	266.0000
22.2765	279.0000
22.2959	236.0000
22.3154	263.0000
22.3348	293.0000
22.3543	247.0000
22.3738	279.0000
22.3932	254.0000
22.4127	264.0000
22.4321	259.0000
22.4516	264.0000
22.4710	252.0000
22.4905	234.0000
22.5100	267.0000
22.5294	253.0000
22.5489	278.0000
22.5683	269.0000
22.5878	245.0000
22.6072	253.0000
22.6267	261.0000
22.6462	256.0000
22.6656	251.0000
22.6851	228.0000
22.7045	233.0000
22.7240	247.0000
22.7434	253.0000
22.7629	263.0000
22.7824	258.0000
22.8018	244.0000
22.8213	246.0000
22.8407	254.0000
22.8602	233.0000
22.8796	251.0000
22.8991	254.0000
22.9186	248.0000
22.9380	235.0000
22.9575	266.0000
22.9769	238.0000
22.9964	241.0000
23.0158	247.0000
