FCC
H,K,L,mul,d,pos,sig²,gam,Fo²,Fc²,phase,Icorr,Prfo,Trans,ExtP,I100,μstrain,Size
1.0,1.0,1.0,8.0,2.080304735673604,43.75853686102065,4.519374104421141,35.75672439154848,5027.650162611393,4450.928483883754,0.0,10.48532805949178,1.0567189583029857,1.0,1.0,100.0,15499.2,10.0
2.0,0.0,0.0,6.0,1.801596748706413,50.91027460334637,4.5011505842249875,42.36970824404862,4656.6127009829215,3732.02106545452,0.0,5.031756055913553,0.9149215654876132,1.0,1.0,44.4470173509627,15499.2,10.0
2.0,2.0,0.0,12.0,1.273921277973941,74.65765717732911,4.637908392386,67.83206363204266,3082.8749518338414,2059.7356072154157,0.0,5.639548102526398,1.0212696174543723,1.0,1.0,32.98018904970552,15499.2,10.0
3.0,1.0,1.0,24.0,1.0864037161787958,90.5299854238397,5.018758795375113,89.75453798390123,2470.54207514731,1426.470492252422,0.0,8.666106327265966,0.9817186802131385,1.0,1.0,40.61338556946559,15499.2,10.0
2.0,2.0,2.0,8.0,1.040152367836802,95.76460753057775,5.234556859754306,98.35180278312004,1580.7657658160697,1276.190204902173,0.0,3.0056059398230026,1.0567189583029857,1.0,1.0,9.012649641664499,15499.2,10.0
