File_Name,Deformation,C11,C22,C33,C12,C13,C23,C44,C55,C66,C14,C15,C16,C24,C25,C26,C34,C35,C36,C45,C46,C56,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio
C0_10,1e-06,396.302234406849,392.7053893283,397.079224701548,214.987671618375,215.865506795975,217.251672766225,180.678593454855,182.112504356996,181.389374251512,0.018972451210425,0.311817500552538,-1.00585476274872,0.620596679650198,0.0342848828758225,-0.730593162685268,0.784047422489557,0.60751933105223,-0.261376299543773,-0.237674514862198,-0.38328280278766,0.655904442504605,275.810727866427,144.701560896414,369.488444920269,0.276725843976109
C0_10,2e-06,396.328579900076,393.202767746651,406.85058971375,214.521407929125,218.61472502025,220.39538805145,181.33584638503,181.852686253751,181.538360856257,0.105729732645088,1.18802247763909,-0.496892883485247,0.457024683327312,-0.493073108649965,-0.609314472477253,0.579687630355339,0.151929360838211,-0.01291375368808,-0.0940889585925751,-0.188277279422167,0.579594230373457,278.160553262458,145.135406456318,370.898504263466,0.277767132498771
C0_10,4e-06,401.269189995988,392.921147112838,401.905188838725,216.600060485782,218.650262078194,218.8320501942,181.086276788715,181.348493780626,181.132281512998,0.039920136306114,0.728912110292868,-0.514948304836872,0.777897568468112,-0.088015984274926,-0.445678394751602,0.510730184858099,0.46171251844882,-0.175754217524825,-0.23339484058842,-0.142872277314155,0.328406448689121,278.251141273767,144.847620629093,370.289664157133,0.278204165691208
C0_10,6e-06,403.022227454975,399.819500728175,399.9339165259,218.871619928679,218.482544605804,220.015729327387,181.426838553288,181.915672460583,181.446304092337,0.180788411497445,1.14434083043757,-0.838320310157316,0.532067114305453,-0.0357418204667205,-0.716284369045183,0.509242591539333,0.486392077412035,-0.188851047379994,-0.257556429032109,-0.17165539346579,0.518727751583014,279.723936936977,145.318146411053,371.60427439471,0.278588681359774
C0_10,8e-06,401.155655414537,398.296361422606,401.991923347662,217.96598559656,218.522340783644,220.187004199965,181.241672258837,181.786823273,181.239933419377,0.182625277563141,1.02512539538422,-0.674552452554256,0.678831692284309,-0.0608756941030465,-0.634353944341282,0.501103270372562,0.608200770333768,-0.271028469487611,-0.164795849212896,-0.216086290607586,0.48329801024991,279.421622371682,145.171593097219,371.225547719434,0.278575029037638
C0_11,1e-06,414.66906918375,393.721432187251,395.023399417472,220.797257392175,222.129183027948,212.429735099804,180.1034091145,181.280923618448,180.512564752047,-0.76728707054983,-0.378219093200015,0.627517352526025,1.22694929202467,0.371066839677062,1.03758125782604,0.492535201564692,-0.312713191627365,-1.25421332890463,-0.0256573735001242,-0.120794006174665,0.867355457972951,279.347361314258,144.916561181569,370.654994081851,0.278856574637628
C0_11,2e-06,402.8239905075,394.32630932695,394.757289188101,217.395724731887,218.896581679014,212.509829150637,180.475100445574,181.221434840953,180.076616459002,-0.829954636525088,-0.307604494774692,-0.480291358524098,1.284735177612,0.14560001898687,0.883409956825432,0.3123659063744,0.0907088198628375,-1.5740784507216,0.193565583224853,-0.178012219637225,0.607375876987247,276.61242890507,144.56166057984,369.343552284118,0.277460257452331
C0_11,4e-06,396.9274500044,398.599716604637,399.95300091603,217.210327207463,219.041409621791,215.149575265484,180.4590929692,181.121530023813,180.172888373713,-0.484204664968681,-0.782946863393974,-0.209866845618477,1.43936048856866,0.349496449650034,1.08299228133735,0.49037796616863,-0.19895802746671,-1.55338799144377,0.28211758024348,0.0442759985055825,0.46671443556292,277.586976857171,144.622625968701,369.668811524873,0.278046256762326
C0_11,6e-06,395.145700349833,400.727787502801,401.906387980915,217.292792648321,219.034348112562,216.107973708079,180.842553390475,181.455454306591,180.653339721633,-0.589312709062639,-0.695492676666373,-0.00165625702462451,1.58380616205408,0.314000180175236,1.44575295430809,0.279688836090943,-0.149081364310375,-1.29485599993404,0.404992936787114,0.026679127304165,0.352845649658208,278.072233863497,144.946586908046,370.469966728364,0.277953398666055
C0_11,8e-06,394.359613907901,398.903597727792,399.926698674209,216.574293059625,218.259618388547,215.09668341934,180.737407354701,181.44610715135,180.600208523419,-0.558991277674894,-0.606467870728271,-0.067672816171703,1.4385369370939,0.319184508915527,1.3331521297812,0.283288421343388,-0.11792696999136,-1.48582454065493,0.418294657709241,0.0195268506281835,0.399051627587708,277.00567778277,144.774032302053,369.883546994781,0.277451284298917
C0_12,1e-06,395.351224448401,414.473285131402,396.136975814397,222.156053967001,214.946225861374,221.77014336055,181.185564949715,181.129142598797,178.622491675002,1.11904420581731,-0.178439072050198,-0.603746699096775,-0.755097156782405,0.0141004582019449,-0.52564081697427,-1.25915157540462,-0.758782817277392,0.66774297232541,-0.969737870850688,-0.357833501458637,-0.295167228347282,280.411814641339,144.660043991721,370.302403704207,0.2799056100294
C0_12,2e-06,395.05378658065,403.5729872767,404.468885557901,218.9180693982,217.767121604287,221.30242241385,180.86916838614,181.310783970022,178.671534845501,0.813716412507425,-0.6902137254869,-1.16785680285165,-0.524072053905675,0.17485322978814,-0.495216343213652,-1.51586234569376,-0.70065802713799,-0.0343009640246825,-1.04917758931595,-0.177554440425087,-0.657087660538025,279.896765138658,144.51083384026,369.876667942366,0.279754112938073
C0_12,4e-06,395.166290561212,398.194585239287,400.054091801562,217.395857668519,216.273517967356,218.651366424825,181.446646039442,181.288078798624,178.931282006499,0.771967221828717,-0.614208307706665,-0.97611148858121,-0.425957060975148,0.220036723419525,-0.433231079937002,-1.59726035699073,-0.556026009881808,-0.0538275948819949,-1.44902984853824,-0.16745063914192,-0.712942382224212,277.561827969274,144.406149738337,369.192306637878,0.278312271696364
C0_12,6e-06,402.457111251967,396.536200297698,398.081770993291,218.882120121278,217.789448410362,217.581196281975,181.236765111238,181.332580934575,179.217669901749,0.832987529670824,-0.42584930874181,-1.13845401089627,-0.583266395135313,0.466690502520823,-0.604806043258084,-1.56825454180207,-0.259571787378832,0.053794919449975,-1.24281485946921,0.0533476923461283,-0.713245117874804,278.397845796688,144.545557704802,369.660197060332,0.278697882280375
C0_12,8e-06,400.564501833963,395.688387984105,399.798411261395,218.19488007645,217.765185866622,217.745992122625,181.184046541376,181.123920409338,179.148343445062,0.695223806402204,-0.436795198812412,-1.12244651629086,-0.615247686204967,0.358878788465587,-0.554249282118489,-1.69460905974477,-0.419908342012575,-0.0154557335093837,-1.21731647895228,-0.0041578845005055,-0.750746492597187,278.162601912317,144.447611613406,369.400580435044,0.278666280144849
C0_1,1e-06,414.664427463799,390.667451236198,393.644169931198,222.275250391575,221.145763834449,217.530735045499,180.307595919999,179.831706508003,180.029804557835,0.151459368600365,-0.992784372454018,-0.251830695145109,-0.910663945450098,0.740034423728273,0.0437836568423225,-0.957889993749481,-1.59945253574565,-0.788001279167325,-0.78648898949609,-0.688291389225875,0.410783835104324,280.097727463804,143.902108021146,368.585263960877,0.280680557878674
C0_1,2e-06,403.84112170375,390.037171602899,393.00208281505,218.885673361149,217.683985515912,216.714275176075,179.977016252502,179.168730800995,179.52981983886,0.457972057435543,-0.36568193187101,-0.549914390627215,-0.294005265098461,0.809964799714181,0.293308282821768,-0.64592800989942,-0.989152057439925,-0.375996954400825,-0.520390520873095,-0.548742949481705,0.22775599534821,277.049804914219,143.308209516375,366.697939968165,0.279403117259185
C0_1,4e-06,398.626771541325,395.271068610037,398.432146972274,218.417849768007,217.643179600094,219.423178600324,179.952495232999,179.17508810225,179.774277940517,0.757673320925003,-0.909458579456235,-0.483134629326277,-0.0433456968501375,0.775453742774346,0.322156996342483,-0.559877190618608,-1.1212929806991,-0.301029246438313,-0.32376827350191,-0.428408317645347,0.03001270596581,278.144267006721,143.570090865501,367.482327683009,0.279801125247155
C0_1,6e-06,397.043954989973,393.66812222199,400.536998558426,217.708103039508,217.6718002036,219.658166484379,180.29548677475,179.457533917336,180.128295426677,0.696446620108541,-1.00769353242036,-0.603724688133649,0.0347582179088595,0.832064113470685,0.316798035844101,-0.579781461986784,-1.11902217441961,-0.425843338977155,-0.488906743042135,-0.433081690985302,0.150020958442868,277.925023913929,143.723663626612,367.775027062643,0.279451893246012
C0_1,8e-06,398.899587983006,395.444510154269,398.525669170957,218.574227388868,217.708710523884,219.616837820972,180.2490179295,179.498402282812,180.091639246287,0.570530532674862,-0.892316786734869,-0.643500355890892,-0.0617373005251645,0.907367710284036,0.280040060324536,-0.563850454859427,-1.06600724029598,-0.41800041568494,-0.502453849406946,-0.441832440567593,0.0851495233618051,278.296590975076,143.76581133002,367.939265376203,0.279647998269853
C0_2,1e-06,391.316129749652,395.77311038655,392.410839605049,217.049284889174,216.1033711976,214.0472336828,181.154158242998,181.625932785275,181.811724877503,1.59587243539931,-0.567764297146138,-0.0136599860496753,-0.36411254759656,-0.03999107283299,0.301953564776625,-1.7083099303008,-1.34777345781671,-0.0745127390004524,-0.576818314404368,0.760197890502922,0.129282459317538,274.877762142267,144.4050425126,368.657878313544,0.276471624186451
C0_2,2e-06,391.486879214026,405.799659595775,394.005712158075,219.6332375336,216.028442056112,216.421608205925,181.204111509498,181.63053075639,181.528353620501,1.30114828717466,0.257443513201226,0.235197832424205,-0.735128900011261,0.306758158449849,0.0228967771761275,-1.74236862687565,-1.06904231606162,-0.1439931350113,-0.274345609596427,0.377374221753258,-0.359521605418767,277.273202951017,144.819863388761,370.036248407022,0.277574221340343
C0_2,4e-06,391.780241212263,400.386090106912,399.221719367926,218.197308845032,217.722759432569,216.4807525953,181.133268695373,181.870923755313,181.401199851499,1.4117265034308,0.0650597448647265,0.144828115656991,-0.971725688225434,0.259608027402436,0.131658643619838,-1.78051474949328,-1.27135330052006,-0.21960403024437,-0.37812635886989,0.431868694063554,-0.318033430900354,277.354410270323,144.81356044805,370.038596626957,0.277637934880082
C0_2,6e-06,399.018923259257,398.607145946331,400.759092067634,219.836986230941,220.012138664392,216.429707384946,180.866548527501,181.991282271762,181.871063302833,1.12525211295396,0.321966065540142,0.224299192241518,-1.17956207980007,0.384847952497432,0.21756267761693,-1.70452548674547,-1.05669138140874,-0.309292646020744,-0.443127100706893,0.38736487491633,-0.210612621235917,278.993647314864,145.086200753282,370.955445987269,0.278396718851559
C0_2,8e-06,397.144314800793,400.065686803743,399.080282811194,219.810793406859,219.065486749406,216.311138950306,180.872603468875,181.760634535428,181.687295831813,1.33191482736556,0.327874680193329,0.20340943741246,-1.03745987453134,0.450125514096266,0.203466013556141,-1.57933911865306,-1.05665000228725,-0.340627281940975,-0.460272518690941,0.428349259406247,-0.305105184941178,278.518346958764,144.937631121167,370.53831738257,0.27826815753875
C0_3,1e-06,415.653257538705,396.270005487275,417.24272713215,224.007584773615,227.425666472522,222.212377249575,181.563268073001,180.925662199501,181.153638088546,-0.172456657518974,-0.53993865317974,0.75951826774219,0.428931923895719,-0.88826044249684,0.475911005201368,0.0713002313521122,-0.825248997174908,0.150182087598692,0.198002963503541,-0.657587824295548,0.356042026371027,286.273027461062,145.763204449704,373.839624085125,0.282352516523191
C0_3,2e-06,405.222453090233,396.192120421875,407.335314735499,220.751321236197,222.522313093029,219.484273487377,181.003773459997,181.282612496,181.220395968501,0.329249128249386,-0.904552059858505,0.364817636309222,-0.220651592510812,-0.697807633192583,0.184356227483917,-0.617395391663503,-0.420160599535358,-0.158856708262081,0.209810479751126,-0.780885541401231,0.23751272936181,281.585078208979,145.100821746967,371.492434471057,0.280118299808396
C0_3,4e-06,399.561429488912,401.849318937764,401.124674982188,220.422550627786,219.37745464442,219.198332893781,181.102774941874,181.512404926374,181.170895227588,0.138512284795535,-0.49202679068574,0.427857875756297,-0.0539553044248455,-0.624209014286415,0.393712942694879,-0.641010856369117,-0.431229590993797,-0.0181884723128965,0.237966864625606,-0.77691185804909,0.215260102712733,280.059122193427,144.993020702025,370.960767432322,0.279236633722817
C0_3,6e-06,397.814504664865,399.724325091508,399.404976716265,219.451524493473,218.300349126842,218.277668555006,181.743105627166,181.797299098915,181.564327721924,0.190208250653257,-0.602987254284165,0.589823158505649,-0.156391968728364,-0.719170448475852,0.373503594908441,-0.636393535037169,-0.553108321679295,0.144505501608094,0.285045550958785,-0.787016367087288,0.293674120457865,278.778098980364,145.081897442755,370.903702397668,0.278256312246039
C0_3,8e-06,396.758438114421,401.550347710608,398.344912215668,219.641940113269,217.791741851142,218.484692970892,181.60368610925,181.632069561563,181.464720726438,0.111548172177555,-0.662511865616944,0.552176897115198,-0.200002596504723,-0.751962767152039,0.358644961145238,-0.797829229068724,-0.599429378387885,0.204451459721878,0.279066103656332,-0.814434782071771,0.269075128397133,278.721160879034,144.98911681981,370.690364368302,0.278338583264115
C0_4,1e-06,394.665860905502,395.3644528904,418.223567008999,216.323970064499,222.457926583996,221.045806561855,181.997108201494,180.018325745249,180.0587554144,-0.349612383746477,-0.296150975728442,0.678374100096588,0.697470901147667,0.0615833932251075,-0.823201339725085,0.878723018752225,-1.03296978722654,-0.303521266999242,-0.0545119134471875,-0.507642193723257,0.703657948776027,280.878809691733,144.976583045199,371.084267028181,0.279807604902954
C0_4,2e-06,404.652423144751,396.49012538144,406.370859279497,218.850591409529,222.188087112752,217.82903546847,181.918974458995,179.609486394801,180.00628769775,-0.0270836644943976,-0.363836160036613,1.1552396188499,0.848968951830465,0.162544164862232,0.0556892471623275,1.31209287375497,-0.434247584087187,-0.15520341162727,-0.00408839358669999,-0.627341270024217,0.25734165783682,280.583203976354,144.883329297972,370.823275147962,0.279730652742366
C0_4,4e-06,399.978027451374,402.324242741146,400.626212579874,219.07749246781,219.011859873313,217.796265953622,181.922608586751,179.843433356463,179.997770211275,-0.149281103813335,-0.116488832662753,0.427221787318643,0.687023006063557,0.270489270844276,-0.042716201293746,1.30119017856032,-0.766542923856406,-0.569266991693065,-0.0233946962190145,-0.527857028066947,0.197832819043953,279.411079929098,144.822286729408,370.461844699879,0.279022217733882
C0_4,6e-06,397.962600316415,404.414340231774,398.91968624392,218.97335693559,218.013080404875,217.787886732871,182.21515585525,180.279377241675,180.369700453733,-0.195767601293067,-0.0140517221543255,0.595849209979348,0.526137025192479,0.375027272324798,-0.0797576638708705,1.03559597729278,-0.534034770845913,-0.409024681237349,0.0592059948383887,-0.477282086213292,0.268546884479196,278.982808326531,145.007666891383,370.782174741032,0.278491622855929
C0_4,8e-06,396.986687647186,402.398847880757,400.718451808,218.197528152953,218.276183695813,217.698298694173,182.156555548375,180.130529433693,180.52176597882,-0.218556415124028,-0.24027582753412,0.516769068255841,0.555966870296843,0.341695510427798,-0.137118120171831,1.18012877300018,-0.6750086367191,-0.443094781815746,0.0851748646724105,-0.473998121980748,0.256035643246922,278.716445380202,144.957235311711,370.619970148336,0.278376927344703
C0_5,1e-06,395.036341108565,391.977091290799,392.812968207249,215.712155041503,216.426399713652,215.051399807676,179.238626576546,182.140950525895,179.616445239003,2.08404391076691,-0.301945669029992,-0.94572638923722,-0.467821782198997,0.35060908386697,-0.922112904649455,-0.595426167323154,-1.36370890636748,0.638659754498844,-0.189363440139444,-0.396891239097387,-0.42555686762427,274.911812192475,143.708300871208,367.149862224502,0.27741355230949
C0_5,2e-06,405.502439498025,392.115592779276,393.1966915226,218.536605257147,219.784315073402,215.4267206366,178.902585939324,181.141286393835,179.898901017748,1.63368082288375,-0.767606057718772,-0.829020566786735,-1.51749458185009,0.83494485455979,-0.781566005063542,-0.547971695575454,-0.893961714239923,1.13409236268644,-0.394592312422403,-0.346485143450072,-0.354488814062215,277.590000637133,143.793026859031,367.861107960471,0.27913403033482
C0_5,4e-06,400.431801046669,398.03510958095,393.598007239537,218.545795342939,218.216957223644,217.179120998594,178.8544503886,181.165552841876,179.735875897751,1.47735388200072,-0.57509211324689,-0.82782919455591,-1.32847115941832,0.736601520191281,-0.858537776869992,-0.409128586656316,-0.779341960465629,1.3740890247064,-0.484264642928612,-0.182324751138197,-0.242068462355418,277.772073888612,143.826045445777,367.968659637329,0.279214270603215
C0_5,6e-06,398.637068358841,399.350458505901,400.462734030902,218.584513765847,219.437223948335,219.371603457668,179.198664987251,181.448093766146,180.148055472166,1.57468460104919,-0.607769039530484,-1.22519293256846,-1.06580734189593,0.768937981797537,-1.05562098960436,-0.422183340366664,-0.917121107293838,1.05235283909101,-0.403920467493181,-0.295776308632868,-0.161870926329577,279.248549248816,144.229424160032,369.136373693661,0.279684696251992
C0_5,8e-06,400.238046205131,397.670482982139,398.531732965295,218.413053749563,219.458400594157,218.351523117915,179.294027870775,181.427261517184,179.806262788,1.57876221019339,-0.514674672254012,-0.903097381142895,-0.985562400184307,0.706843694401595,-0.801206616699715,-0.302866477549913,-0.832125401779128,1.14385554752179,-0.38002534813919,-0.31503809736293,-0.256394181281474,278.765135230649,144.119996081254,368.803540947357,0.279501633969751
C0_6,1e-06,392.124118695351,415.440986128601,394.7836150811,221.921020129551,215.08965084385,223.126633284125,179.598974957002,178.9345063155,179.904317360625,-1.4015524785762,-0.268273413526285,0.58720084163255,0.859638112073915,0.95945068254792,-0.0524746874907222,0.948370197802015,-1.53389490867755,-0.221996562392942,-0.0344942737513075,0.14126766700446,0.134402852912708,280.291480935567,143.83498743646,368.475698115969,0.280897313940202
C0_6,2e-06,404.382768972725,404.263026808075,403.731494507525,222.627250671275,221.120486355463,222.798716857337,178.938137291748,179.088822803248,179.550183714743,-1.18437498441395,-0.706940351473758,-0.1208966212638,1.21547310447382,0.87003817000166,-0.595306174732535,1.10518218833776,-1.80031793856052,0.215677662647179,0.255983820875373,-0.242651330197052,0.208298891534755,282.830022006275,143.904151188898,369.111107135039,0.282489435105036
C0_6,4e-06,399.414005044712,398.831540694012,398.416198189362,219.572352491981,218.172133874643,219.824380487813,178.977170285751,178.973539309624,179.794537065081,-1.10744354578838,-1.12654536354349,0.210132427092535,1.1274220245948,0.53099538585677,-0.534572447705008,1.23408255633742,-1.76616423767566,0.245704622603918,0.0476565623742451,-0.169450283083085,0.23561631391713,279.088830848551,143.488574470334,367.486784950336,0.28054371683201
C0_6,6e-06,397.40251965819,397.092453313292,397.035520234742,218.561692312092,217.31828734487,219.06845611855,179.391404152084,179.525145108168,179.809817423187,-1.12491734092508,-0.972531175671183,-0.201988590515078,1.30700427465911,0.550965431704974,-0.605990759998766,1.26237357110822,-1.78091484059593,-0.0149551361796051,0.00090774404195005,-0.108361945480368,0.294553487229355,277.936373861916,143.517410498735,367.3269538431,0.279729590182155
C0_6,8e-06,399.049069932843,396.167764432511,398.440459232149,218.881835559125,218.173483124096,219.169578426968,179.239962187125,179.254939963812,179.898331923322,-1.04407159017503,-1.0287355196092,0.0623118407371275,1.34108275687463,0.451908405528202,-0.589994248417123,1.39367525742164,-1.83396159806212,0.0405826536475238,0.0705770995622862,-0.0751938290624915,0.300498737912467,278.456343090876,143.507473247339,367.405995479655,0.280093597796196
C0_7,1e-06,393.57882177335,415.054007723499,392.812975327795,220.877701883175,216.86073440914,220.008330120993,179.10137879951,180.620049205493,180.57372612505,2.34334092094351,1.15600548250114,1.03436725372568,-1.58867069372661,-1.23122223759963,1.14041016969963,-1.15984189997817,1.22492273446398,-0.991189187010466,0.397833515506816,-0.031109127417751,-1.24618169689512,279.659926405695,144.305633386767,369.382603118271,0.279862034658946
C0_7,2e-06,393.4755037879,404.787089172275,403.371266032068,218.628762642575,220.011549626937,220.129837251902,179.315736584248,180.585533969247,180.263316070475,1.7546517012379,1.0216917175228,0.407870611424775,-2.04088850126496,-1.28606076098841,0.184202341774764,-1.40028434933334,1.18859099568246,-1.59225353324118,0.749343950249681,0.132270560983372,-0.236383955310517,279.908239781674,144.223831289516,369.251978188345,0.280135102801095
C0_7,4e-06,398.489841192442,399.135787282962,397.853825338689,218.306765991044,220.044186568483,217.094852646812,179.13498574037,180.318495034126,180.828048920337,1.71332433048885,0.934438440412767,0.503297999637552,-2.03873136798923,-1.23088174468737,0.300010350206038,-1.42531944745994,0.973977934528492,-1.48775695237376,0.667143189748743,0.182737740637684,-0.578697896219183,278.485673802975,144.058549179483,368.615048151864,0.279393171218894
C0_7,6e-06,400.273489535391,397.484695501209,396.128619898833,218.231836907538,220.133157111777,216.155116059461,179.613052042419,180.722989384666,180.54935352385,1.68111739005929,0.933700157683321,0.46444963784579,-1.84988130718425,-1.104023114112,0.456766604258383,-1.40732403878601,1.18896027957938,-1.43983026418497,0.647614832290816,0.259734723820297,-0.559964297441931,278.10300278811,144.134858647298,368.706928551879,0.279034551433928
C0_7,8e-06,398.471698056328,399.412725409099,397.850060583528,218.387587595731,219.965630434612,217.07462694436,179.382496317877,180.493796103687,180.653939988837,1.76367779523475,1.05609327723175,0.536450714487555,-1.84699608653424,-1.03315709781295,0.453568681912484,-1.33798135008149,1.13656300244477,-1.40399533559281,0.759108129124545,0.246431976398131,-0.534560402181317,278.510019333151,144.12648908703,368.768056961231,0.279320891312882
