Lattice parameter (Bohr) | Average atomic volume (au^3) | Lattice parameter (Angstrom) | Total energy (Ry)
6.20000 | 59.582000 | 3.28090 | -2539.56990800
6.25000 | 61.035160 | 3.30736 | -2539.57524800
6.30000 | 62.511750 | 3.33382 | -2539.57950900
6.35000 | 64.011970 | 3.36028 | -2539.58276700
6.43000 | 66.461930 | 3.40261 | -2539.58606800
6.45000 | 67.084030 | 3.41319 | -2539.58655200
6.50000 | 68.656250 | 3.43965 | -2539.58721000
6.55000 | 70.252840 | 3.46611 | -2539.58712600
6.58000 | 71.222580 | 3.48199 | -2539.58674400
6.60000 | 71.874000 | 3.49257 | -2539.58635700
6.61000 | 72.201200 | 3.49786 | -2539.58612600
6.65000 | 73.519910 | 3.51903 | -2539.58495400
6.67000 | 74.185240 | 3.52961 | -2539.58422800
6.73000 | 76.205300 | 3.56136 | -2539.58151700
6.75000 | 76.886720 | 3.57195 | -2539.58044600
6.76000 | 77.228940 | 3.57724 | -2539.57988100
6.80000 | 78.608000 | 3.59841 | -2539.57743000
6.82000 | 79.303640 | 3.60899 | -2539.57609600
6.85000 | 80.354780 | 3.62486 | -2539.57396300
