Lattice parameter (Bohr) | Average atomic volume (au^3) | Lattice parameter (Angstrom) | Total energy (Ry)
6.30000 | 62.511750 | 3.33382 | -2539.57950900
6.35000 | 64.011970 | 3.36028 | -2539.58276700
6.40000 | 65.536000 | 3.38673 | -2539.58509200
6.45000 | 67.084030 | 3.41319 | -2539.58655200
6.50000 | 68.656250 | 3.43965 | -2539.58721000
6.51900 | 69.260070 | 3.44971 | -2539.58726300
6.55000 | 70.252840 | 3.46611 | -2539.58712600
6.60000 | 71.874000 | 3.49257 | -2539.58635700
6.65000 | 73.519910 | 3.51903 | -2539.58495400
6.70000 | 75.190750 | 3.54549 | -2539.58296900
